번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소
266,002990,금호산업,064101,건물 건설업,"36,035,349","181,638,075,000","5,000",원(KRW),02-6303-0114,전라남도 나주시 시청길 4 
267,011780,금호석유화학,032001,기초 화학물질 제조업,"30,467,691","167,455,885,000","5,000",원(KRW),02-6961-1114,"서울특별시 중구 청계천로 100
(수표동, 시그니쳐타워) "
268,214330,금호에이치티,033003,자동차 신품 부품 제조업,"15,887,045","7,943,522,500",500,원(KRW),062-958-2700,광주광역시 광산구 용아로 717 
269,001210,금호전기,032804,전구 및 조명장치 제조업,"6,976,569","34,882,845,000","5,000",원(KRW),02-707-4000,서울특별시 마포구  마포대로4다길 41 마포타워빌딩 
270,073240,금호타이어,032201,고무제품 제조업,"287,260,287","1,436,301,435,000","5,000",원(KRW),02-6303-8114,광주광역시 광산구  어등대로 658 
271,036190,금화피에스시,064203,전기 및 통신 공사업,"6,000,000","3,000,000,000",500,원(KRW),02  -2186-6220,서울특별시 강남구  테헤란로25길 15-4 
272,049080,기가레인,032902,특수 목적용 기계 제조업,"50,392,650","25,196,325,000",500,원(KRW),031-233-7325,경기도 화성시 동탄산단10길 61 - 
273,035460,기산텔레콤,032604,통신 및 방송 장비 제조업,"14,577,340","7,288,670,000",500,원(KRW),02  -3431-8700,서울특별시 송파구  오금로 111 세기빌딩 11층
274,092440,기신정기,032902,특수 목적용 기계 제조업,"29,200,000","14,600,000,000",500,원(KRW),032-820-1600,"인천광역시 남동구  은봉로 111 49동 1호(논현동, 남동공단)"
275,000270,기아자동차,033001,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000","5,000",원(KRW),02-3464-1114,서울특별시 서초구 헌릉로 12 기아자동차
276,024110,기업은행,116401,은행 및 저축기관,"559,978,815","2,799,894,075,000","5,000",원(KRW),02-729-6114,서울특별시 중구 을지로 79 중소기업은행본점
277,013700,까뮤이앤씨,064101,건물 건설업,"45,152,280","22,576,140,000",500,원(KRW),031-633-9114,경기도 이천시 대월면 경충대로 1937번길 57 
278,004540,깨끗한나라,031701,"펄프, 종이 및 판지 제조업","37,240,693","188,034,265,000","5,000",원(KRW),02-2270-9200,서울특별시 중구  삼일대로6길 5 신조양빌딩 8층 
279,187790,나노,032001,기초 화학물질 제조업,"23,851,615","11,925,807,500",500,원(KRW),054-533-5887,경상북도 상주시 청리면 마공공단로 60 -
280,074610,나노메딕스,032901,일반 목적용 기계 제조업,"27,805,125","13,902,562,500",500,원(KRW),031-366-9600,경기도 화성시  비봉면 현대기아로 818-11 
281,151910,나노스,032602,전자부품 제조업,"109,013,645","10,901,364,500",100,원(KRW),031-240-3900,경기도 화성시 마도면 마도공단로2길 4 -
282,121600,나노신소재,032004,기타 화학제품 제조업,"10,848,333","5,424,166,500",500,원(KRW),044-275-6966,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내
283,039860,나노엔텍,032701,의료용 기기 제조업,"26,292,790","13,146,395,000",500,원(KRW),02-6220-7728,서울특별시 구로구  디지털로26길 5 에이스하이엔드타워1차 1210호
284,091970,나노캠텍,032202,플라스틱제품 제조업,"21,202,036","10,601,018,000",500,원(KRW),031-671-9466,경기도 용인시 처인구 남사면 완장천로 42-34 
285,244880,나눔테크,032701,의료용 기기 제조업,"5,020,000","2,510,000,000",500,원(KRW),062-955-8588,광주광역시 북구 첨단벤처소로 57(월출동) 
286,288490,나라소프트,105802,소프트웨어 개발 및 공급업,"24,770,000","2,477,000,000",100,원(KRW),02-3487-7988,"서울특별시 서초구 강남대로 163, 2층 (양재동, 혜인빌딩) "
287,051490,나라엠앤디,032902,특수 목적용 기계 제조업,"14,200,000","7,230,000,000",500,원(KRW),055-239-3600,경상남도 창원시 성산구  공단로 675 나라엠앤디(주) 
288,190510,나무가,032602,전자부품 제조업,"3,430,020","1,912,749,500",500,원(KRW),070-7012-8400,"경기도 성남시 중원구 사기막골로 124, 709호(상대원동, SKn테크노파크) &nbsp"
289,242040,나무기술,105802,소프트웨어 개발 및 공급업,"27,247,820","2,724,782,000",100,원(KRW),031-8017-3900,"경기도 성남시 분당구 판교로 255 5층(삼평동, 이노밸리F동)"
290,089600,나스미디어,137103,광고업,"8,754,691","4,557,703,000",500,원(KRW),02-2188-7300,"서울특별시 강남구 도곡로1길 14 삼일프라자오피스텔4,5F "
291,293580,나우아이비캐피탈,116409,기타 금융업,"9,480,000","47,400,000,000","5,000",원(KRW),02-565-6234,서울특별시 강남구 삼성로 511 골든타워 11층
292,138610,나이벡,032103,의료용품 및 기타 의약 관련제품 제조업,"6,367,958","3,183,979,000",500,원(KRW),043-532-7458,충청북도 진천군  이월면 밤디길 116 이월전기전자농공1단지
293,130580,나이스디앤비,147509,기타 사업지원 서비스업,"15,400,000","7,700,000,000",500,원(KRW),02-2122-2370,서울특별시 마포구 마포대로 217 (아현동)
294,036800,나이스정보통신,106102,전기 통신업,"10,000,000","5,000,000,000",500,원(KRW),02  -2187-2700,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 
295,001260,남광토건,064102,토목 건설업,"9,827,396","49,136,980,000","5,000",원(KRW),02-3011-0114,"경기도 용인시 기흥구 흥덕중앙로 120 비122호(영덕동, 흥덕유타워) "
296,008350,남선알미늄,032402,1차 비철금속 제조업,"110,179,090","55,243,490,000",500,원(KRW),053-610-5110,대구광역시 달성군  논공읍 논공중앙로 288 
297,004270,남성,074607,기타 전문 도매업,"36,212,160","18,106,080,000",500,원(KRW),02-2109-1550,서울특별시 구로구 디지털로31길 20 크라운프라자 13층 (주)남성
298,003920,남양유업,031005,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000","5,000",원(KRW),02-2010-6601,서울특별시 강남구 도산대로 240 1964빌딩
299,002070,남영비비안,031401,봉제의복 제조업,"6,867,945","6,867,945,000","1,000",원(KRW),02-3780-1114,서울특별시 용산구  서빙고로51길 52 
300,025860,남해화학,032003,"비료, 농약 및 살균, 살충제 제조업","49,678,843","49,678,843,000","1,000",원(KRW),061-688-5354,서울특별시 강남구 테헤란로113길 15 (삼성동) 
301,111710,남화산업,189101,스포츠 서비스업,"20,588,000","4,117,600,000",200,원(KRW),,전라남도 무안군 청계면 서호로 162 
302,091590,남화토건,064101,건물 건설업,"11,740,000","5,870,000,000",500,원(KRW),062-520-1072,전라남도 화순군 화순읍 벽라1길 40 
303,168330,내츄럴엔도텍,137001,자연과학 및 공학 연구개발업,"20,665,822","10,332,911,000",500,원(KRW),070-4601-3139,"경기도 성남시 분당구 판교로 255 번길 58, 에이동 301호 "
304,072770,네오디안테크놀로지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","35,957,518","17,978,759,000",500,원(KRW),02-2082-2800,서울특별시 서초구 방배로34길 8 다원빌딩 301호
305,253590,네오셈,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","33,141,514","3,314,151,400",100,원(KRW),02-769-3921,경기도 안양시 동안구 시민대로327번길 12-26 주식회사 네오셈
306,212560,네오오토,033003,자동차 신품 부품 제조업,"7,874,963","3,937,481,500",500,원(KRW),02-732-2871,"서울특별시 종로구 새문안로5길 19 6층(당주동, 로얄빌딩)"
307,095660,네오위즈,105802,소프트웨어 개발 및 공급업,"21,915,008","10,957,504,000",500,원(KRW),031-8023-6600,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워 
308,042420,네오위즈홀딩스,116409,기타 금융업,"8,856,866","4,653,433,000",500,원(KRW),031-8023-6503,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워 
309,085910,네오티스,033003,자동차 신품 부품 제조업,"11,013,678","5,506,839,000",500,원(KRW),031-671-0170,경기도 안성시  죽산면 용대길 38-9 
310,092730,네오팜,032004,기타 화학제품 제조업,"7,461,237","3,730,618,500",500,원(KRW),042-864-0038,대전 유성구 탑립동 928번지 
311,290660,네오펙트,032701,의료용 기기 제조업,"11,873,545","5,936,772,500",500,원(KRW),031-889-8521,"경기도 용인시 수지구 죽전로 152, 서관 401호 &nbsp"
312,153460,네이블커뮤니케이션즈,105802,소프트웨어 개발 및 공급업,"6,530,014","3,265,007,000",500,원(KRW),070-7780-9910,"서울특별시 강남구 학동로 401 8층(청담동, 금하빌딩) "
313,007390,네이처셀,031102,비알코올음료 및 얼음 제조업,"53,056,399","26,528,199,500",500,원(KRW),02-3472-1681,서울특별시 영등포구 국회대로76길 10 5층 
314,086220,네추럴FNP,031007,기타 식품 제조업,"10,573,865","5,286,932,500",500,원(KRW),043-211-1056,충청북도 청원군 오창읍 양청송대길 39(송대리) 
315,033640,네패스,032601,반도체 제조업,"22,972,541","11,586,270,500",500,원(KRW),02-3470-2700,충청북도 음성군 삼성면 금일로965번길 105 
316,087730,네패스신소재,032002,합성고무 및 플라스틱 물질 제조업,"3,515,737","1,757,868,500",500,원(KRW),063-900-7200,전라북도 익산시  석암로 99 엘지화학익산공장 내 
317,005720,넥센,116409,기타 금융업,"53,543,977","28,572,288,500",500,원(KRW),055-333-0771,경상남도 김해시  김해대로 2595 
318,002350,넥센타이어,032201,고무제품 제조업,"97,667,877","54,083,938,500",500,원(KRW),055-370-5114,경상남도 양산시  충렬로 355 넥센타이어 
319,089140,넥스턴,032301,유리 및 유리제품 제조업,"11,846,520","5,923,260,000",500,원(KRW),031-288-2088,경기도 용인시 기흥구 기흥단지로121번길 35 (고매동)
320,065170,넥스트BT,074603,음·식료품 및 담배 도매업,"61,587,062","30,793,531,000",500,원(KRW),02-3401-4490,충청북도 음성군 삼성면 대양로 193-12 
321,139670,넥스트리밍,105802,소프트웨어 개발 및 공급업,"7,016,911","3,508,455,500",500,원(KRW),02-2194-5300,서울특별시 서초구 바우뫼로37길 56 건영빌딩 3층 
322,003580,넥스트사이언스,020702,기타 비금속광물 광업,"22,510,021","11,255,010,500",500,원(KRW),02-6925-4450,강원도 정선군  사북읍 동탄길 32 
323,137940,넥스트아이,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","77,116,173","7,927,357,300",100,원(KRW),031-478-2700,경기도 안양시 동안구 동편로 43동편로13번길65 넥스트아이빌딩 
324,041140,넥슨지티,105802,소프트웨어 개발 및 공급업,"35,373,322","17,686,661,000",500,원(KRW),02-525-6603,"경기도 성남시 분당구 판교로 256번길 25 (삼평동, 판교테크노밸리 씨3-7비동)"
325,217270,넵튠,105802,소프트웨어 개발 및 공급업,"21,377,405","10,688,702,500",500,원(KRW),031-698-3498,"경기도 성남시 분당구 성남대로331번길 8 13층(정자동, 킨스타워)"
326,225570,넷게임즈,105802,소프트웨어 개발 및 공급업,"24,003,428","12,001,714,000",500,원(KRW),02-750-5644,"서울특별시 강남구 남부순환로 2621 5층~7층(도곡동, 서브원강남빌딩) "
327,251270,넷마블,105802,소프트웨어 개발 및 공급업,"85,266,124","8,526,612,400",100,원(KRW),02-2271-7114,"서울특별시 구로구 디지털로 300 (구로동, 지밸리비즈플라자)"
328,104620,노랑풍선,147502,여행사 및 기타 여행보조 서비스업,"4,765,650","2,382,825,000",500,원(KRW),02-2022-7200,"서울특별시 중구 수표로 31 (저동2가, 노랑풍선빌딩)"
329,090350,노루페인트,032004,기타 화학제품 제조업,"20,000,000","10,231,563,000",500,원(KRW),031-467-6114,경기도 안양시 만안구  박달로 351 
330,000320,노루홀딩스,116409,기타 금융업,"13,291,151","8,500,200,500",500,원(KRW),02-2191-7700,경기도 안양시 만안구  박달로 351 
331,194700,노바렉스,031007,기타 식품 제조업,"9,003,740","4,501,870,000",500,원(KRW),02-587-0019,충청북도 청주시 청원구 오창읍 각리1길 94 &nbsp
332,285490,노바텍,033309,그외 기타 제품 제조업,"4,626,800","2,313,400,000",500,원(KRW),031-627-5290,"경기도 용인시 기흥구 흥덕중앙로 120, 511호, 1101호,1111호,1112호,1113호(영덕동, 유타워) "
333,229500,노브메타파마,137001,자연과학 및 공학 연구개발업,"8,655,614","4,327,807,000",500,원(KRW),02-538-1893,"서울특별시 강남구 언주로 727 13층 (논현동, 트리스빌딩)"
334,006280,녹십자,032102,의약품 제조업,"11,686,538","58,432,690,000","5,000",원(KRW),031-260-9304,경기도 용인시 기흥구  이현로30번길 107(보정동) 
335,144510,녹십자랩셀,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,554,054","5,277,027,000",500,원(KRW),031-260-9300,경기도 용인시 기흥구 이현로30번길 107 &nbsp
336,031390,녹십자셀,032101,기초 의약물질 및 생물학적 제제 제조업,"11,867,819","5,933,909,500",500,원(KRW),02-2101-0635,경기도 용인시 기흥구 이현로30번길 107 GC녹십자셀센터
337,142280,녹십자엠에스,032103,의료용품 및 기타 의약 관련제품 제조업,"9,560,000","4,780,000,000",500,원(KRW),031-260-9300,경기도 용인시 기흥구 이현로30번길 107 &nbsp
338,005250,녹십자홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,"47,028,210","25,744,900,000",500,원(KRW),031-260-9300,경기 용인시 구성읍 동백리 (주)녹십자 303
339,065560,녹원씨엔아이,074607,기타 전문 도매업,"14,867,550","7,433,775,000",500,원(KRW),02-2025-6500,경기도 파주시 신촌2로 7-12 -
340,004370,농심,031007,기타 식품 제조업,"6,082,642","30,413,210,000","5,000",원(KRW),02-820-7114,서울특별시 동작구  여의대방로 112 
341,072710,농심홀딩스,116409,기타 금융업,"4,637,790","23,188,950,000","5,000",원(KRW),02-820-7820,서울특별시 동작구  여의대방로 112 (신대방동)
342,054050,농우바이오,010101,작물 재배업,"16,030,561","8,015,280,500",500,원(KRW),031-213-4321,경기도 수원시 영통구 센트럴타운로 114-8(이의동)농우바이오 
343,040160,누리텔레콤,105802,소프트웨어 개발 및 공급업,"12,055,535","6,027,767,500",500,원(KRW),02-781-0700,서울특별시 서초구 사평대로 16(방배동 750-14번지) 
344,069140,누리플랜,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","4,751,401","2,375,700,500",500,원(KRW),031-997-9097,경기도 김포시  대곶면 대곶로202번길 191 
345,126870,뉴로스,032901,일반 목적용 기계 제조업,"19,401,592","9,700,796,000",500,원(KRW),042-865-7300,대전광역시 유성구 테크노2로 274 (탑립동)
346,060260,뉴보텍,032202,플라스틱제품 제조업,"26,863,919","13,431,959,500",500,원(KRW),033-734-6001,강원도 원주시  태장공단길 42-6 뉴보텍(주) 
347,012340,뉴인텍,032602,전자부품 제조업,"54,133,507","27,066,753,500",500,원(KRW),041 -541 -8100,충청남도 아산시 음봉면 음봉면로 243 
348,270870,뉴트리,031007,기타 식품 제조업,"9,032,224","4,516,112,000",500,원(KRW),031-776-3494,"경기도 성남시 중원구 사기막골로 124 테크동 1109호 (상대원동, SKn테크노파크) "
349,222040,뉴트리바이오텍,031007,기타 식품 제조업,"20,628,000","10,314,000,000",500,원(KRW),02-3474-8527,서울특별시 강남구 테헤란로 145 우신빌딩 10층 
350,144960,뉴파워프라즈마,032902,특수 목적용 기계 제조업,"8,250,337","4,125,168,500",500,원(KRW),031-612-7600,경기도 수원시 영통구 신원로 176 (신동)
351,900100,뉴프라이드,074502,자동차 부품 및 내장품 판매업,"87,747,266","263,242",0.003,미국달러(USD),1-310-631-7000,"1511 E. Orangethorpe Avenue, Suite D , Fullerton, CA 92831 - "
352,085670,뉴프렉스,032602,전자부품 제조업,"21,156,039","10,578,019,500",500,원(KRW),031-494-9325,경기 안산시 단원구 신길동 1055603-4호 
353,119860,다나와,105802,소프트웨어 개발 및 공급업,"13,074,822","6,537,411,000",500,원(KRW),1688-2450,서울특별시 양천구  목동동로 233-1 501호
354,064260,다날,105802,소프트웨어 개발 및 공급업,"54,374,654","27,187,327,000",500,원(KRW),031-697-1004,"경기도 성남시 분당구 분당로 55, 9층(서현동, 분당퍼스트타워) "
355,093640,다믈멀티미디어,032601,반도체 제조업,"7,945,470","3,972,735,000",500,원(KRW),031-380-6950,경기도 안양시 동안구  시민대로 161 안양무역센터 
356,039560,다산네트웍스,032604,통신 및 방송 장비 제조업,"29,937,901","16,197,413,000",500,원(KRW),070-7010-1000,경기도 성남시 분당구 대왕판교로644번길 49 다산타워 
357,058730,다스코,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","15,400,000","8,000,000,000",500,원(KRW),061-370-2114,전라남도 화순군  동면 동농공길 26-2 
358,023590,다우기술,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","44,866,617","22,433,308,500",500,원(KRW),070-8707-1000,경기도 용인시 수지구  디지털벨리로 81 디지털스퀘어 6층
359,032190,다우데이타,074605,기계장비 및 관련 물품 도매업,"38,300,000","19,150,000,000",500,원(KRW),02-3410-5100,"서울특별시 마포구 독막로 311 염리동, 재화스퀘어 5층, 11층 "
360,068240,다원시스,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","26,101,057","13,050,528,500",500,원(KRW),031-8085-3010,경기도 안산시 단원구 시화호수로 485(성곡동) (주) 다원시스
361,086080,다이노나,137001,자연과학 및 공학 연구개발업,"15,346,481","7,673,240,500",500,원(KRW),02-578-0810,"서울특별시 송파구 올림픽로43길 88 아산생명과학 11층(풍납동, 서울아산병원) "
362,271850,다이오진,137001,자연과학 및 공학 연구개발업,"3,000,000","300,000,000",100,원(KRW),031-701-6488,"경기도 성남시 분당구 판교로 255번길 9-22, 302호(삼평동, 우림더블유시티) "
363,019680,대교,168501,초등 교육기관,"84,702,850","52,064,920,000",500,원(KRW),02-829-1114,서울특별시 관악구 보라매로 3길 23 (보라매동 729-21) 대교타워
364,006370,대구백화점,074701,종합 소매업,"10,821,611","54,108,055,000","5,000",원(KRW),053-423-1234,대구광역시 중구 동성로 30 9층 재무팀
365,008060,대덕전자,032602,전자부품 제조업,"78,006,972","40,657,424,000",500,원(KRW),031-599-8829,경기도 안산시 단원구 강촌로 230 (목내동)
366,178600,대동고려삼,031007,기타 식품 제조업,"4,449,600","2,224,800,000",500,원(KRW),041-753-8803,충청남도 금산군  군북면 군북로 586 
367,000490,대동공업,032902,특수 목적용 기계 제조업,"23,728,210","23,728,210,000","1,000",원(KRW),053-610-3000,대구광역시 달성군 논공읍 논공중앙로34길 35 35
368,020400,대동금속,032403,금속 주조업,"480,000","2,400,000,000","5,000",원(KRW),053 -610 -5030,대구광역시 달성군  논공읍 논공로 602 
369,008830,대동기어,032902,특수 목적용 기계 제조업,"898,752","4,493,760,000","5,000",원(KRW),055 -851 -2311,경상남도 사천시  사남면 공단1로 42 (주)대동기어 
370,048470,대동스틸,032401,1차 철강 제조업,"10,000,000","5,000,000,000",500,원(KRW),(02)780-4448,인천광역시 남동구 앵고개로622번길 29 남동공단 165B-1L 고잔동
371,008110,대동전자,032604,통신 및 방송 장비 제조업,"10,490,447","5,245,223,500",500,원(KRW),02-855-5121,서울특별시 금천구  가산디지털1로 33 
372,004780,대륙제관,032509,기타 금속 가공제품 제조업,"15,903,199","7,951,599,500",500,원(KRW),02-6003-0600,서울특별시 강남구 역삼로 221 
373,005750,대림비앤코,032302,"내화, 비내화 요업제품 제조업","16,672,240","16,672,240,000","1,000",원(KRW),055-280-8400,경상남도 창원시 성산구  공단로 52 
374,000210,대림산업,064102,토목 건설업,"34,800,000","218,500,000,000","5,000",원(KRW),02-2011-7114,서울특별시 종로구  종로1길 36 대림빌딩
375,004440,대림씨엔에스,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000","1,000",원(KRW),02-311-3300,서울특별시 중구 을지로5길 16 삼화타워 5층 
376,017650,대림제지,031709,기타 종이 및 판지 제품 제조업,"45,000,000","4,500,000,000",100,원(KRW),031 -373 -7670,경기 오산시 누읍동 7 
377,006570,대림통상,032509,기타 금속 가공제품 제조업,"15,225,000","16,425,000,000","1,000",원(KRW),02-730-9811,서울특별시 서대문구  연희로 142 
378,007720,대명코퍼레이션,074608,상품 종합 도매업,"100,800,450","50,400,225,000",500,원(KRW),02-2222-7500,강원도 홍천군 서면 한치골길 262 
379,290670,대보마그네틱,032809,기타 전기장비 제조업,"3,232,600","1,616,300,000",500,원(KRW),031-354-3960,경기도 화성시 팔탄면 현대기아로 25-13 
380,078140,대봉엘에스,032102,의약품 제조업,"11,086,579","5,543,289,500",500,원(KRW),032-817-8800,인천광역시 남동구  능허대로649번길 123 
381,001680,대상,031007,기타 식품 제조업,"34,648,025","36,018,248,000","1,000",원(KRW),02-2220-9500,서울특별시 동대문구  천호대로 26 
382,084690,대상홀딩스,116409,기타 금융업,"36,212,538","37,126,020,000","1,000",원(KRW),02-2211-6500,서울특별시 중구 세종대로9길 41 올리브타워 2층 
383,036480,대성미생물,032102,의약품 제조업,"3,800,000","1,900,000,000",500,원(KRW),02-553-1104,경기도 의왕시  덕영대로 103 
384,128820,대성산업,074707,연료 소매업,"45,235,478","226,177,390,000","5,000",원(KRW),02-2170-2125,"서울특별시 구로구 경인로 662(신도림동, 디큐브시티) "
385,117580,대성에너지,043502,연료용 가스 제조 및 배관공급업,"27,500,000","27,500,000,000","1,000",원(KRW),053-606-1000,대구광역시 중구 명덕로 85 (남산동)
386,025440,대성엘텍,032605,영상 및 음향기기 제조업,"99,661,343","49,830,671,500",500,원(KRW),02-867-0061,서울 금천구 가산동 60-19 번지 
387,027830,대성창투,116402,신탁업 및 집합투자업,"40,000,000","20,000,000,000",500,원(KRW),02-559-2900,서울특별시 강남구 역삼로 165 해성빌딩4층 
388,104040,대성파인텍,033003,자동차 신품 부품 제조업,"31,301,281","3,130,128,100",100,원(KRW),055-289-4883,경상남도 창원시 성산구  성산패총로24번길 16 (주)대성파인텍 
389,016710,대성홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,"16,089,459","16,089,459,000","1,000",원(KRW),053-606-1000,대구광역시 중구 명덕로 85 대성홀딩스
390,262830,대신밸런스제4호스팩,116601,금융 지원 서비스업,"5,010,000","501,000,000",100,원(KRW),02-769-3921,서울특별시 중구 삼일대로 343 
391,303030,대신밸런스제5호스팩,116601,금융 지원 서비스업,"4,110,000","411,000,000",100,원(KRW),02-769-3921,서울특별시 중구 삼일대로 343 
392,307750,대신밸런스제6호스팩,116601,금융 지원 서비스업,"5,010,000","501,000,000",100,원(KRW),02-769-3921,서울특별시 중구 삼일대로 343 &nbsp
393,020180,대신정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","38,428,915","19,214,457,500",500,원(KRW),02  -2107-5009,"광주광역시 서구 상무중앙로 110(치평동, 우체국보험광주회관) "
394,003540,대신증권,116601,금융 지원 서비스업,"50,773,400","434,867,000,000","5,000",원(KRW),02-769-2000,서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터
395,045390,대아티아이,032809,기타 전기장비 제조업,"71,151,522","7,115,152,200",100,원(KRW),032-680-0800,경기도 부천시 오정구 수도로 139 
396,009190,대양금속,032401,1차 철강 제조업,"12,317,933","6,158,966,500",500,원(KRW),041-333-4675,충청남도 예산군  신암면 추사로 146-8 
397,108380,대양전기공업,033101,선박 및 보트 건조업,"9,567,333","4,783,666,500",500,원(KRW),051-200-5331,부산광역시 사하구 장평로 245 
398,006580,대양제지,031701,"펄프, 종이 및 판지 제조업","26,850,000","13,425,000,000",500,원(KRW),031-490-9302,경기도 안산시 단원구  신원로 50 
399,014160,대영포장,031702,"골판지, 종이 상자 및 종이용기 제조업","108,394,549","54,197,274,500",500,원(KRW),031-490-9300,"경기도 안산시 단원구 산단로 265 (원시동, 대영포장(주))"
400,047040,대우건설,064101,건물 건설업,"415,622,638","2,078,113,190,000","5,000",원(KRW),02-2288-3114,서울특별시 종로구 새문안로 75 (주)대우건설
401,009320,대우부품,033003,자동차 신품 부품 제조업,"47,646,375","23,823,187,500",500,원(KRW),063-530-8171,전라북도 정읍시  공단2길 3 
402,042660,대우조선해양,033101,선박 및 보트 건조업,"107,205,752","541,028,760,000","5,000",원(KRW),055-735-2114,경상남도 거제시 거제대로 3370 (아주동)
403,003090,대웅,116409,기타 금융업,"58,141,980","29,070,990,000",500,원(KRW),02-550-8800,경기 성남시 중원구 상대원동 223-23
404,069620,대웅제약,032102,의약품 제조업,"11,586,575","28,966,437,500","2,500",원(KRW),02-550-8800,경기도 화성시 향남읍 제약공단4길 35-14 -
405,007680,대원,064101,건물 건설업,"11,050,000","5,525,000,000",500,원(KRW),043-264-1115,충청북도 청주시 흥덕구 직지대로435번길 15(송정동) &nbsp
406,000430,대원강업,033003,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",500,원(KRW),02-3455-7300,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사
407,311840,대원모방,031302,직물직조 및 직물제품 제조업,"1,593,280","796,640,000",500,원(KRW),043-275-9181,충청북도 청주시 흥덕구 공단로126번길 37 
408,048910,대원미디어,074607,기타 전문 도매업,"12,578,946","6,319,473,000",500,원(KRW),02-6373-3000,"서울특별시 용산구 한강대로23길 55 6층 1-1호(한강로3가,현대아이파크몰 테마파크) "
409,005710,대원산업,033003,자동차 신품 부품 제조업,"20,037,600","10,018,800,000",500,원(KRW),031 -495 -2301,경기도 안산시 단원구 원시로 179 
410,006340,대원전선,032803,절연선 및 케이블 제조업,"68,107,171","35,364,185,500",500,원(KRW),041-339-3400,충청남도 예산군  고덕면 호음덕령길 92 
411,003220,대원제약,032102,의약품 제조업,"19,098,606","9,549,303,000",500,원(KRW),02-2204-7000,서울특별시 성동구 천호대로 386 대원제약
412,024890,대원화성,032202,플라스틱제품 제조업,"41,249,152","20,624,576,000",500,원(KRW),031-372-3992,서울특별시 강남구 봉은사로 327 궁도빌딩 13층
413,290380,대유,032003,"비료, 농약 및 살균, 살충제 제조업","9,052,400","4,526,200,000",500,원(KRW),02-556-6293,"서울특별시 강남구 학동로77길 26 (청담동, 대유빌딩) "
414,002880,대유에이텍,033003,자동차 신품 부품 제조업,"103,311,545","51,655,772,500",500,원(KRW),062-940-8672,광주광역시 광산구  소촌로123번길 40-12 
415,290120,대유에이피,033003,자동차 신품 부품 제조업,"10,884,000","5,442,000,000",500,원(KRW),063-210-3900,전라북도 완주군 봉동읍 완주산단8로 66 
416,071460,대유위니아,032805,가정용 기기 제조업,"35,967,295","31,872,532,500",500,원(KRW),041-530-6114,광주광역시 광산구 하남산단9번로 110 -
417,000300,대유플러스,032604,통신 및 방송 장비 제조업,"100,682,460","50,341,230,000",500,원(KRW),031-737-7000,광주광역시 광산구 소촌로123번길 40-16 2층(소촌동)
418,120240,대정화금,032001,기초 화학물질 제조업,"7,100,391","3,550,195,500",500,원(KRW),031-488-8822,"경기도 시흥시 서해안로 186 대정화금(주) 정돵동, 시화공단 1다 107"
419,003310,대주산업,031008,동물용 사료 및 조제식품 제조업,"35,392,350","18,696,175,000",500,원(KRW),02  -2201-8107,서울특별시 광진구 구의강변로 44 (구의동)
420,114920,대주이엔티,032401,1차 철강 제조업,"3,469,500","1,734,750,000",500,원(KRW),070-7015-1323,인천광역시 중구 신포로 4 (사동) 4층
421,078600,대주전자재료,032602,전자부품 제조업,"14,551,225","7,275,612,500",500,원(KRW),(031)498-2901,경기 시흥시 정왕동 1236-10 
422,065690,대진디엠피,032201,고무제품 제조업,"13,963,509","6,981,754,500",500,원(KRW),02-3443-5360,충남 천안시 성거읍 천흥리316-4 
423,012800,대창,032402,1차 비철금속 제조업,"91,140,499","45,570,249,500",500,원(KRW),031-496-3000,경기도 시흥시 공단1대로 391 
424,015230,대창단조,033003,자동차 신품 부품 제조업,"2,000,000","10,000,000,000","5,000",원(KRW),055-329-3911,경남 김해시 생림면 봉림리 1072-1
425,096350,대창솔루션,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","108,455,315","10,845,531,500",100,원(KRW),052-711-7700,부산광역시 강서구 화전산단1로 155 화전동
